20000 200000
7760 11700 0
17702 16334 0
17702 3028 0
2060 10099 0
1376 2097 0
5507 2080 0
11700 17216 0
2885 8758 0
8708 1848 0
13655 2140 0
3591 134 0
12760 7760 0
15780 7735 0
344 15625 0
16272 9176 0
11600 15961 0
7676 12959 0
7664 8915 0
8983 13317 0
16313 7142 0
16777 5615 0
3980 19650 0
15849 14755 0
5798 652 0
17144 7758 0
12200 14109 0
4245 4489 0
10600 15356 0
6846 3924 0
13420 9712 0
19210 8477 0
15232 167 0
1010 3820 0
10450 6400 0
17964 3140 0
6334 14281 0
11261 11060 0
1306 3366 0
7959 4185 0
15849 1456 0
2884 14055 0
14713 19560 0
3366 1010 0
4269 19210 0
9765 17782 0
6846 19742 0
4211 15717 0
3979 16846 0
9312 7859 0
4020 4073 0
19654 14055 0
19920 10959 0
4087 12902 0
2751 11380 0
9780 12702 0
18419 9516 0
6568 13020 0
451 7735 0
11031 17782 0
3725 13460 0
5153 7049 0
17581 9038 0
6726 13073 0
18761 11312 0
4359 2662 0
17964 1848 0
13160 3020 0
17144 17628 0
13220 10268 0
6495 11580 0
2169 14906 0
408 11600 0
15098 1306 0
1289 9100 0
10400 1376 0
15391 18234 0
15192 7600 0
14301 11964 0
18251 8480 0
19080 18369 0
7306 4923 0
9154 19280 0
2247 16343 0
6920 13160 0
8353 9038 0
11946 10099 0
6843 14468 0
7758 8177 0
16945 19594 0
17029 2661 0
2614 5299 0
19673 18453 0
11550 2769 0
9765 5540 0
10546 11946 0
19960 10577 0
16394 9004 0
408 10780 0
6003 14051 0
5347 9990 0
3020 13600 0
6987 3300 0
830 12959 0
8362 15780 0
13678 9025 0
19801 19909 0
628 4367 0
17785 19909 0
19210 15266 0
16118 10517 0
8857 7675 0
4567 9180 0
2183 876 0
12547 3366 0
12160 11206 0
8209 16849 0
14100 15086 0
15317 2137 0
1908 6757 0
8316 1397 0
12959 189 0
19100 6220 0
5680 16343 0
13524 4565 0
14620 6967 0
3513 1903 0
17216 13520 0
13655 4480 0
8203 3615 0
10599 17331 0
10495 11882 0
14109 6583 0
17831 10456 0
134 4022 0
14688 13121 0
10612 2661 0
13759 10079 0
11588 4430 0
12959 6422 0
12286 1480 0
2885 11573 0
17803 16407 0
17858 15214 0
19920 6166 0
652 6750 0
8209 9712 0
1326 10780 0
13091 10820 0
9990 15577 0
19035 19909 0
16979 17237 0
10450 9011 0
17804 10535 0
13700 14755 0
12143 17334 0
14090 15638 0
11588 10020 0
17614 11119 0
13594 12635 0
2672 1132 0
6380 6970 0
7744 14073 0
12647 4627 0
3545 16955 0
8327 4480 0
4359 11946 0
2265 14906 0
14669 935 0
8890 17614 0
7142 15214 0
3880 8969 0
6960 7329 0
16660 11695 0
9052 5990 0
11465 11895 0
8253 19047 0
9761 13864 0
4952 176 0
12467 4280 0
12304 12784 0
12270 5482 0
18251 3220 0
6060 8895 0
1205 10739 0
7235 5798 0
16179 6453 0
13420 13153 0
17858 5798 0
1870 19354 0
10456 16777 0
10450 1908 0
19714 11197 0
15780 3908 0
7600 16855 0
9761 12978 0
7859 1003 0
10450 12635 0
15086 19085 0
16809 6960 0
8890 12040 0
5036 14051 0
13540 5036 0
1480 9542 0
15167 18296 0
12735 2302 0
12786 14688 0
1968 12273 0
11695 17237 0
16979 16118 0
6025 7429 0
6132 13840 0
9547 1750 0
6334 11119 0
817 19354 0
16810 5434 0
9722 8755 0
280 5405 0
10090 5540 0
3574 19876 0
8700 14900 0
17622 17170 0
19446 4185 0
15214 12470 0
5088 5720 0
2060 12565 0
10638 2744 0
4840 2875 0
19322 15356 0
8638 3172 0
16982 15266 0
4085 188 0
16151 1686 0
17780 10517 0
5058 12104 0
10549 11522 0
4840 8857 0
11260 3980 0
17614 10638 0
5680 7523 0
8362 3979 0
19322 9052 0
1289 19428 0
3910 12304 0
18201 830 0
12088 12104 0
7880 13655 0
15223 5666 0
14880 15263 0
11197 6702 0
17029 16055 0
8080 11672 0
5680 19828 0
7749 17150 0
12612 9402 0
8440 17628 0
2640 19579 0
1205 11465 0
14281 5738 0
13130 10099 0
3618 447 0
830 7749 0
676 7807 0
9765 9383 0
16431 9542 0
167 19742 0
4022 14900 0
7431 5738 0
18533 19615 0
18201 12040 0
18041 451 0
5738 2968 0
312 15223 0
1750 6556 0
11337 12273 0
1380 11172 0
4284 9836 0
11197 543 0
15202 13678 0
19233 7320 0
18800 10006 0
15984 10100 0
2968 4419 0
13520 19446 0
13616 1480 0
16380 3020 0
1704 8386 0
16849 6880 0
4022 12083 0
4430 14836 0
12323 13130 0
5347 4482 0
12772 2853 0
7032 2853 0
6556 9990 0
7676 4567 0
13073 16096 0
16380 15192 0
8969 7049 0
12040 2751 0
17780 7513 0
4386 12635 0
19127 6620 0
9021 13378 0
8857 9215 0
11569 17740 0
13378 18460 0
15638 10517 0
16014 9675 0
7320 12978 0
10577 11578 0
7329 12796 0
7431 19915 0
18157 18200 0
5049 7360 0
2097 19428 0
1684 5582 0
17201 17702 0
2711 4494 0
15317 6040 0
17780 2796 0
4143 19452 0
7270 3628 0
12293 8758 0
16314 10912 0
12242 17568 0
19440 1230 0
258 5434 0
11946 9176 0
10079 9463 0
11895 15577 0
16509 15274 0
4012 6132 0
16151 13700 0
6400 6020 0
3034 7142 0
4280 12568 0
17782 9180 0
19035 3971 0
19070 6757 0
5380 9383 0
10714 11874 0
14984 12822 0
8477 1306 0
10464 16334 0
7600 4767 0
2672 1972 0
12267 8758 0
7304 19804 0
19499 14976 0
15098 15317 0
14020 11780 0
9843 7190 0
6920 5990 0
5026 4284 0
7431 11465 0
3143 2183 0
11895 12822 0
1012 19560 0
4720 7415 0
13865 14095 0
13669 8700 0
3072 6926 0
4022 7807 0
18234 19885 0
939 4785 0
4558 15625 0
1380 5387 0
5186 3260 0
4280 3020 0
19080 5655 0
2619 17581 0
3840 7042 0
18234 3015 0
7449 16248 0
7306 13387 0
1010 12822 0
10643 11337 0
14087 9180 0
18910 5597 0
1546 19310 0
10405 19554 0
10505 9154 0
17885 1205 0
7585 628 0
11550 10730 0
1067 1903 0
3597 7088 0
2661 18099 0
7032 15232 0
6178 11613 0
9320 8477 0
2619 5299 0
6562 1908 0
9383 19160 0
19952 9722 0
10124 19370 0
11613 19598 0
4494 3980 0
6716 18419 0
14303 18453 0
8708 14984 0
16723 9176 0
5238 2853 0
18510 6710 0
17508 6683 0
11197 7705 0
4211 4767 0
7069 15067 0
15923 10643 0
13594 6960 0
16313 9883 0
5023 13569 0
19804 9454 0
1909 19923 0
5440 4211 0
14163 12104 0
3615 16014 0
6970 13317 0
13540 5049 0
12547 19804 0
15196 4430 0
6002 11582 0
4359 6621 0
1437 2376 0
19742 11500 0
12366 17831 0
14051 17855 0
1750 3140 0
280 6597 0
15849 840 0
13187 2853 0
17581 19160 0
12786 5738 0
1574 6045 0
3230 9190 0
18805 11672 0
13536 4087 0
14669 6562 0
4952 3733 0
12267 134 0
17624 18414 0
9463 12120 0
6987 12104 0
13430 11092 0
18528 10912 0
5540 13864 0
1968 6757 0
11440 14755 0
8308 4242 0
15220 8203 0
18910 876 0
9068 3172 0
8177 6220 0
12470 7304 0
2885 10638 0
8000 10714 0
7585 9875 0
14755 1123 0
5710 10577 0
8765 19153 0
939 14780 0
11710 188 0
10089 6132 0
1123 1546 0
258 8000 0
628 6040 0
17669 10583 0
5434 5008 0
134 12143 0
7360 628 0
9836 16118 0
15605 9780 0
14566 11119 0
4567 11380 0
11600 18656 0
2002 15277 0
15625 1106 0
8983 9932 0
9798 13461 0
13704 6970 0
19322 17624 0
6495 19654 0
14055 6843 0
3591 1482 0
19035 5153 0
13655 9675 0
15266 11206 0
5340 7807 0
11710 3946 0
16431 17622 0
2751 5937 0
3946 19876 0
10006 15277 0
10820 7720 0
19960 985 0
5507 9542 0
14142 7242 0
6002 6212 0
1067 15756 0
6621 5680 0
6132 18414 0
13420 13732 0
13372 1551 0
2889 16343 0
15625 14106 0
2493 756 0
9560 9402 0
15923 2769 0
2884 451 0
12102 14226 0
5299 14669 0
19960 19035 0
18398 1956 0
9765 5937 0
17554 11946 0
3172 3618 0
15530 4480 0
17785 5380 0
1376 7397 0
1647 19673 0
4430 6620 0
5070 5582 0
17300 6872 0
11540 19047 0
4952 10155 0
6967 15192 0
3072 9454 0
8857 1480 0
14055 6334 0
5940 17785 0
1664 12242 0
7320 12647 0
3615 2302 0
8253 18251 0
13865 5152 0
7235 1067 0
3736 18758 0
9835 14976 0
17804 560 0
5736 18419 0
3979 3143 0
18580 7231 0
19300 18580 0
9215 3418 0
16809 9190 0
16343 19080 0
5347 3617 0
1012 5736 0
4185 18746 0
13616 73 0
3015 5840 0
15090 6621 0
6583 6422 0
11119 10912 0
14755 9038 0
4567 676 0
12537 17785 0
7600 5297 0
18533 3908 0
2140 17968 0
17237 6710 0
14906 4306 0
4489 18746 0
9646 3597 0
3143 2796 0
3230 18860 0
889 81 0
10456 19804 0
19035 258 0
9021 8958 0
11312 3880 0
15625 3020 0
17628 4012 0
17820 1972 0
12242 10089 0
11682 19615 0
17669 12784 0
16660 3135 0
12286 19070 0
4377 17029 0
4482 4952 0
19310 12797 0
16431 10780 0
10599 18041 0
17448 16979 0
8253 13669 0
5340 18369 0
11261 12088 0
7705 2720 0
1269 17029 0
7082 12902 0
13197 12102 0
18419 16509 0
18453 189 0
3591 10089 0
17702 10959 0
9520 5238 0
17170 16096 0
18398 5440 0
2146 9100 0
15086 4012 0
2097 10549 0
1995 15295 0
4565 10089 0
14090 19804 0
13130 19801 0
4491 939 0
6683 19923 0
2373 10577 0
11613 12565 0
14342 15625 0
1106 18667 0
8316 11380 0
7270 1317 0
12083 12088 0
7523 7959 0
16055 15090 0
1380 15623 0
7523 15623 0
5736 4923 0
9520 8857 0
8068 6002 0
13220 14906 0
11031 4482 0
2614 14976 0
5631 16660 0
13864 11415 0
5049 1306 0
2376 19428 0
12273 8477 0
5023 4720 0
3034 14976 0
13655 13704 0
1193 14163 0
10079 1903 0
6597 5238 0
4600 11731 0
12143 13515 0
14825 4739 0
6422 4480 0
17628 8691 0
13594 7758 0
6726 13678 0
14023 16576 0
18746 7946 0
15295 19260 0
5666 8253 0
8758 9158 0
9320 12796 0
10500 492 0
18369 16435 0
19952 4600 0
6166 12270 0
13436 14406 0
4567 9004 0
10100 19300 0
12160 18404 0
18161 12959 0
3780 1100 0
19160 676 0
5530 1848 0
16979 9835 0
17981 17412 0
2183 4952 0
12286 16118 0
13387 2661 0
176 13655 0
15777 13220 0
15984 5700 0
13491 13153 0
6178 4600 0
5626 19354 0
14860 19615 0
14303 889 0
16272 12273 0
16380 14095 0
1482 4489 0
4567 1010 0
18020 10405 0
15274 3230 0
15202 12796 0
11895 676 0
17614 3034 0
5798 18404 0
60 12160 0
14145 72 0
13908 17785 0
17170 19260 0
19310 9052 0
2662 3545 0
5977 12160 0
3971 9935 0
3195 10643 0
10546 15551 0
8308 9176 0
16979 18041 0
1583 2183 0
12467 5615 0
13600 19909 0
817 628 0
10339 18296 0
12421 18568 0
7035 3980 0
6987 3820 0
19742 19876 0
2885 652 0
14688 12784 0
9516 13130 0
9780 13700 0
11119 13220 0
8895 18663 0
14226 18404 0
7523 17185 0
11540 19322 0
5440 10464 0
5387 9180 0
9675 2711 0
13121 3195 0
6003 4904 0
5238 188 0
9011 3545 0
9004 12083 0
13669 7513 0
18099 17782 0
13600 1647 0
12270 14142 0
13461 12616 0
9678 7069 0
14163 13317 0
19204 5380 0
12568 15820 0
17669 13700 0
12547 3028 0
15524 11295 0
15356 3980 0
15961 7140 0
19070 19673 0
4143 9751 0
12902 17831 0
2002 18761 0
8755 10546 0
3135 16723 0
8915 2672 0
3980 5984 0
14426 3202 0
8316 9761 0
3628 2060 0
1397 11780 0
8853 18804 0
13520 15067 0
12886 18942 0
16096 4565 0
4377 10006 0
9578 19047 0
9215 935 0
16151 3946 0
6453 18389 0
8857 15523 0
14468 19714 0
14303 1903 0
14755 17448 0
15277 4242 0
5023 5798 0
14620 14274 0
11656 5247 0
8958 8915 0
19594 15167 0
15674 14426 0
8203 840 0
18201 5711 0
18568 9658 0
9402 1909 0
13121 17337 0
4245 830 0
11312 18414 0
17115 12647 0
12743 19615 0
4022 4211 0
5347 14836 0
4491 19804 0
7900 9021 0
1664 12772 0
9306 11092 0
16179 9920 0
2060 12267 0
13732 8983 0
19280 3591 0
5393 11710 0
25 3230 0
8316 8003 0
11780 652 0
1456 25 0
14820 19615 0
11882 12267 0
15639 10089 0
5530 5380 0
18296 4211 0
10038 81 0
11613 1205 0
10339 19402 0
12886 3366 0
9052 4498 0
11440 13536 0
7749 15346 0
12320 11092 0
14406 6060 0
9578 2140 0
7060 15098 0
3230 1397 0
11465 17614 0
10820 16857 0
5405 14226 0
7260 2265 0
17318 1750 0
10079 9646 0
16857 4513 0
18528 8915 0
12200 15082 0
2968 14984 0
3028 18419 0
1376 5482 0
4185 7600 0
15680 4419 0
9761 19598 0
15849 3172 0
5434 2614 0
6920 19952 0
7513 14090 0
6220 13153 0
10090 1546 0
1003 7172 0
9920 10494 0
2302 9542 0
1456 16777 0
2040 8648 0
4087 235 0
19615 2619 0
17508 905 0
11573 9516 0
167 7720 0
7042 11222 0
8006 2619 0
11197 8477 0
11031 889 0
3880 15223 0
6380 15520 0
17831 9932 0
17539 17831 0
12273 8006 0
9002 1127 0
9875 9520 0
6178 7270 0
10450 10517 0
11337 9875 0
10006 19219 0
17740 2420 0
5247 19300 0
16394 15820 0
12702 5631 0
7870 11926 0
4480 9267 0
4904 2602 0
14780 6418 0
6045 18863 0
19885 19035 0
8327 16849 0
524 6453 0
5393 3202 0
8983 7550 0
13436 12088 0
4377 408 0
1010 7880 0
14755 7880 0
14825 14106 0
13616 11197 0
1909 5190 0
19915 16777 0
13225 1447 0
1482 6566 0
15295 16179 0
11956 12735 0
19070 11672 0
9843 13520 0
6926 13461 0
2420 3545 0
2373 11964 0
19233 7600 0
5405 14976 0
6025 2744 0
9516 12529 0
15808 9675 0
5026 14688 0
451 2425 0
19654 13580 0
25 13160 0
5940 16810 0
10999 2493 0
9883 2302 0
19804 11731 0
3366 15090 0
8915 8362 0
6987 6472 0
1583 3736 0
4073 13160 0
10638 11441 0
17036 11337 0
9722 2373 0
17568 19915 0
676 12267 0
16272 1486 0
2680 15090 0
2744 14087 0
2002 14073 0
5597 17142 0
9675 15090 0
2355 18533 0
14780 13197 0
11580 7749 0
19742 7185 0
4180 11337 0
19440 772 0
7190 1152 0
5340 6002 0
11695 18656 0
15192 258 0
12612 13491 0
7758 10739 0
14755 9454 0
14620 19260 0
11964 13153 0
14755 6380 0
3946 18378 0
15232 12270 0
929 16014 0
18940 6400 0
19909 2602 0
7523 3143 0
5840 5680 0
7397 19204 0
11569 19615 0
12902 830 0
13704 10546 0
19402 2853 0
11582 9315 0
3725 15202 0
1750 13704 0
7082 5112 0
13864 11874 0
17412 4242 0
12959 10124 0
5460 19219 0
1551 15090 0
5130 5299 0
10912 12635 0
19654 16179 0
6495 17981 0
2840 6716 0
6960 5840 0
1317 18805 0
19310 6212 0
11780 12232 0
12420 14073 0
15196 7142 0
17237 4280 0
14087 17508 0
4558 12273 0
7190 4565 0
4085 1908 0
7231 11171 0
5615 6132 0
13460 19210 0
2425 1968 0
16407 5582 0
14274 3591 0
4087 1574 0
10339 9542 0
5380 7320 0
7870 13130 0
14342 15086 0
17115 4022 0
1863 2373 0
8765 2853 0
2080 756 0
19310 9180 0
6872 17885 0
11312 5798 0
18378 6716 0
13333 11956 0
515 15196 0
12232 7360 0
10155 13655 0
11197 19860 0
11260 4627 0
280 2623 0
11911 12470 0
5023 8708 0
2891 17237 0
19402 14825 0
19440 17964 0
15098 8446 0
7760 13187 0
17300 3135 0
15214 7306 0
10100 4280 0
5400 6866 0
3623 9712 0
134 8316 0
17177 9765 0
10698 3980 0
543 524 0
2433 16118 0
10780 6683 0
14301 18761 0
16334 7735 0
1848 447 0
12702 15680 0
13540 8480 0
10583 7172 0
451 7720 0
15638 2493 0
3202 1269 0
5798 1326 0
18658 14106 0
3980 7185 0
5297 15266 0
1326 4494 0
13461 25 0
16151 12616 0
12040 19280 0
12267 19742 0
17115 6702 0
2265 10612 0
5711 13220 0
14825 5247 0
16248 12102 0
7304 17957 0
10099 12273 0
5070 9180 0
5238 9675 0
9383 11573 0
4494 8000 0
9516 447 0
6726 7660 0
6025 8765 0
10517 16394 0
13536 12588 0
6307 2097 0
6970 12822 0
2640 10450 0
11613 9780 0
7880 1647 0
7449 11337 0
17957 18099 0
11040 1447 0
16295 7108 0
1956 188 0
17177 17554 0
12083 14073 0
11580 1010 0
14836 4022 0
13759 14100 0
6281 3840 0
2146 6453 0
14566 15223 0
2080 4482 0
3140 15223 0
14020 9780 0
14426 3020 0
1995 13372 0
18200 13187 0
13046 17940 0
3120 18800 0
5070 19920 0
8983 13130 0
12143 935 0
7304 6220 0
13430 9315 0
15095 8446 0
11500 7049 0
13820 3829 0
13460 1750 0
3015 10450 0
12743 6907 0
16723 5299 0
15820 235 0
3780 9520 0
5238 11550 0
12088 11956 0
3135 5798 0
11031 19499 0
2146 19615 0
5070 5666 0
13491 18296 0
12822 11040 0
13225 10456 0
17142 25 0
25 3230 0
14226 16565 0
9780 11312 0
10450 7880 0
5626 9649 0
6400 7270 0
8177 939 0
6880 14226 0
5817 10100 0
18667 2137 0
130 3135 0
387 18369 0
627 13864 0
13020 15266 0
1010 3120 0
11261 11964 0
17568 1750 0
15356 8446 0
12647 11895 0
7431 176 0
18041 9402 0
4360 18360 0
5597 6843 0
9578 11600 0
9875 6846 0
10020 5299 0
4211 12102 0
8477 6960 0
10599 1326 0
1583 12760 0
652 16576 0
12743 17237 0
3908 6045 0
11582 3780 0
18663 206 0
12547 2744 0
8765 14274 0
6045 11260 0
628 19210 0
7870 12102 0
81 11600 0
9320 17481 0
6422 17957 0
7900 18940 0
4245 13655 0
60 6621 0
14281 5815 0
16955 17216 0
9215 11522 0
17150 17115 0
16867 18200 0
2889 15277 0
10079 9860 0
8480 6220 0
3733 6880 0
18099 8853 0
19100 2602 0
1956 4022 0
19210 4600 0
2376 18041 0
17614 3072 0
1132 19085 0
5405 7235 0
8080 12104 0
1956 4359 0
7270 2680 0
15623 6281 0
10643 7600 0
18091 11672 0
14620 19582 0
14090 14860 0
15577 13091 0
15780 5840 0
11721 5582 0
8983 19579 0
12720 7242 0
18800 11171 0
6380 16314 0
8969 17201 0
3015 8000 0
13460 6726 0
19047 3230 0
19875 4491 0
17420 1492 0
13073 12088 0
15623 13569 0
10546 7431 0
1684 9520 0
7660 6866 0
3020 5680 0
15086 15623 0
8068 4565 0
18804 12242 0
1397 3733 0
10124 10730 0
6896 6568 0
3924 3733 0
3910 5631 0
12822 17337 0
939 11337 0
13864 10100 0
9578 6002 0
5937 5597 0
4627 7676 0
1908 13225 0
4767 18726 0
1480 5400 0
19428 18404 0
10090 5400 0
16272 9012 0
6750 17029 0
6872 18656 0
12529 7705 0
7807 4180 0
16380 134 0
4840 17858 0
7900 13704 0
4020 560 0
2614 13908 0
8890 19909 0
2751 14051 0
8006 11911 0
5631 15923 0
9463 10355 0
2884 19080 0
280 19499 0
1909 10638 0
7676 12273 0
10456 5247 0
16014 19960 0
447 905 0
14906 7329 0
1205 16431 0
18116 11119 0
18804 10546 0
18453 564 0
7306 17331 0
10643 111 0
9158 18414 0
12760 16272 0
16723 7042 0
16660 13678 0
3618 7235 0
12286 10714 0
16857 5937 0
2720 15523 0
680 1968 0
12320 8328 0
7516 6025 0
9516 14161 0
10643 18251 0
5340 10037 0
17119 19440 0
1317 9560 0
15082 14780 0
3028 18804 0
2711 16343 0
13865 7516 0
9649 17885 0
7429 13387 0
7360 9932 0
628 17740 0
16509 12293 0
543 8708 0
5540 9402 0
235 12267 0
19233 15523 0
10583 17318 0
6562 10912 0
7242 6960 0
2885 5049 0
18040 12796 0
9463 16380 0
15717 17337 0
3829 15530 0
14090 15223 0
5238 9920 0
15098 189 0
2614 16855 0
16565 14095 0
13540 10090 0
3195 17216 0
17964 1909 0
9516 15605 0
2302 5440 0
2302 7959 0
2751 235 0
7340 15625 0
14468 12796 0
2640 2711 0
15849 3946 0
5840 4565 0
16945 9239 0
5286 11882 0
17115 15605 0
12760 6726 0
9843 12200 0
19499 15674 0
19828 13820 0
9843 6620 0
7035 1895 0
2662 7172 0
1664 10038 0
12616 13100 0
13430 6166 0
17029 12635 0
3617 8853 0
8500 7749 0
1995 16867 0
2140 18020 0
7082 17379 0
5736 19127 0
7585 2891 0
18419 19080 0
492 3980 0
9560 18302 0
11926 18041 0
5710 4498 0
9267 3230 0
18201 16930 0
9765 2769 0
3260 5058 0
3172 18296 0
9955 13378 0
6872 8765 0
1704 7720 0
12323 11171 0
1317 12786 0
8440 7032 0
14825 10450 0
13491 7329 0
17177 17237 0
12320 2376 0
13865 15098 0
8446 19952 0
2080 12796 0
9560 15391 0
6525 2853 0
1317 18302 0
1956 7431 0
7550 10912 0
7140 19875 0
889 12366 0
12900 10400 0
9646 3829 0
13865 4264 0
13378 9315 0
5152 543 0
2875 13220 0
4245 15551 0
7140 8477 0
12088 2891 0
12588 10534 0
11710 4264 0
6472 18360 0
18378 19875 0
2060 10730 0
1437 12797 0
11522 7032 0
6891 14406 0
10339 10583 0
9454 2796 0
18568 3840 0
12537 19615 0
17448 14566 0
6422 1647 0
2140 876 0
10020 13317 0
5190 16055 0
564 3908 0
9454 19047 0
7306 7675 0
16857 7088 0
11522 16576 0
6987 15346 0
12959 4280 0
9052 10500 0
5347 17337 0
6453 4565 0
16260 15167 0
13130 8638 0
18656 13461 0
6453 5297 0
8440 2002 0
19204 6926 0
5393 10405 0
8446 15605 0
7082 12959 0
19070 4491 0
5036 12470 0
13460 7108 0
5153 8890 0
19582 9547 0
6025 14142 0
9516 15923 0
18460 17740 0
7618 680 0
16565 2640 0
3195 5347 0
16295 25 0
7740 7032 0
4321 10549 0
7306 5186 0
18980 5026 0
4419 13160 0
7049 18980 0
15639 17036 0
16857 17142 0
14109 16930 0
1012 6960 0
9547 12902 0
2183 15808 0
4280 7660 0
1546 4767 0
7900 16295 0
11040 7415 0
13160 6025 0
2355 5984 0
19860 4491 0
1972 5058 0
11580 5393 0
3366 5738 0
4085 11295 0
652 9052 0
15196 16014 0
3618 451 0
15736 17858 0
14163 15274 0
3628 14426 0
11780 16272 0
9267 19923 0
17568 3260 0
8542 13820 0
19960 130 0
11700 8890 0
4491 13616 0
12143 6472 0
564 4600 0
8068 18460 0
564 9267 0
543 16867 0
312 11731 0
2875 2140 0
14226 628 0
13678 13491 0
12146 11926 0
15625 12616 0
2425 3140 0
18528 10450 0
10079 3763 0
16440 6716 0
14984 628 0
2302 2875 0
6422 14073 0
1306 11578 0
19594 1376 0
12267 10577 0
19370 6726 0
2355 12612 0
543 10038 0
7516 8209 0
4775 7397 0
3140 13669 0
7429 6620 0
6880 12146 0
11200 4264 0
2060 7060 0
8353 8068 0
13753 10049 0
1397 15680 0
1956 12786 0
8691 4600 0
628 15420 0
8755 12242 0
14073 2376 0
13100 9267 0
9068 10100 0
4491 19219 0
2796 16979 0
10698 130 0
19160 12146 0
5655 5070 0
3733 1956 0
16407 15639 0
3260 17412 0
3120 17539 0
6003 17669 0
15717 10739 0
13820 10730 0
2060 14090 0
6418 9875 0
14301 12902 0
6132 6702 0
6178 1387 0
12900 15777 0
14984 7035 0
2744 9955 0
12529 3780 0
17150 4952 0
5347 8440 0
17614 12784 0
13840 7360 0
11588 6380 0
7618 14303 0
12796 13616 0
13732 5440 0
2661 5340 0
15277 1100 0
451 2146 0
13317 11172 0
2614 11721 0
7042 12267 0
2433 15232 0
12232 11672 0
7270 16118 0
2040 6212 0
9306 16248 0
6926 12232 0
5700 15961 0
17115 5026 0
17940 4073 0
15223 1704 0
15317 9798 0
15356 9990 0
14073 19615 0
18528 3971 0
19860 11500 0
9068 3733 0
7429 5190 0
18805 17568 0
4360 7744 0
627 14055 0
15961 7870 0
543 1704 0
3840 17940 0
16394 16260 0
5036 15638 0
17885 7306 0
12242 905 0
4565 8755 0
13430 13732 0
18389 18580 0
12273 5507 0
8327 17581 0
19446 19070 0
7675 15530 0
13700 7735 0
176 5190 0
15196 3545 0
5405 11441 0
11700 3143 0
19382 10339 0
3829 8327 0
9477 10549 0
17300 8477 0
13540 16313 0
11578 4022 0
12822 18360 0
976 1317 0
11672 5088 0
16982 1909 0
6891 2769 0
11780 2493 0
8691 5405 0
2002 7807 0
19654 18528 0
12635 5711 0
5088 15232 0
15520 9011 0
5977 4280 0
11312 6920 0
17782 6132 0
18510 4491 0
18020 9547 0
2840 8003 0
18041 4494 0
12040 8758 0
16151 9658 0
14095 1903 0
6212 4359 0
680 12146 0
12304 15220 0
10714 1664 0
9516 2183 0
12796 15625 0
4567 2146 0
19598 14342 0
16857 10549 0
5708 13700 0
15623 4269 0
2169 16979 0
1456 12088 0
19609 19080 0
12797 4627 0
7035 6970 0
7880 7513 0
17508 19615 0
10405 13865 0
15530 3015 0
11206 1574 0
19354 9306 0
13594 16248 0
11550 4480 0
5026 16380 0
5286 18419 0
10124 10739 0
13704 3971 0
9798 19876 0
1750 8003 0
8006 8177 0
9012 6710 0
16660 9468 0
4020 8915 0
19650 18568 0
11200 6710 0
7431 11415 0
5710 19354 0
19860 10698 0
5387 9843 0
1664 7859 0
9547 18419 0
7870 2080 0
5434 8758 0
3829 15623 0
7664 8708 0
19554 4306 0
19804 7705 0
17300 1132 0
4073 4513 0
13753 11656 0
8000 7042 0
3880 16955 0
18389 1647 0
17420 10500 0
3034 7618 0
9578 905 0
15057 7859 0
15530 889 0
2433 16260 0
16179 18414 0
3260 6702 0
14073 14020 0
17669 12421 0
8000 11295 0
18613 11040 0
1010 17539 0
4923 2680 0
9520 18020 0
12588 8648 0
12786 4377 0
6453 5482 0
3733 6683 0
15638 8386 0
19070 5070 0
11582 10155 0
2853 19428 0
6060 16930 0
15274 6556 0
13594 15266 0
18528 15808 0
13317 2661 0
16955 11261 0
16380 11440 0
12797 8209 0
344 6866 0
3195 7082 0
11882 17029 0
17036 6907 0
9025 16509 0
15057 17318 0
2183 16096 0
1437 176 0
15095 9158 0
11261 18234 0
19876 10912 0
6132 3300 0
9402 13225 0
4767 2433 0
19714 6896 0
14055 6750 0
6040 5112 0
1193 18251 0
16982 15780 0
9860 11956 0
4739 6750 0
2720 2040 0
17981 18942 0
10599 1010 0
3623 15520 0
12978 6970 0
16770 13333 0
7060 12102 0
939 3260 0
9990 19860 0
5190 18040 0
5615 4012 0
2493 676 0
10089 12467 0
2751 6002 0
6060 13378 0
4306 12232 0
7760 4419 0
9402 15961 0
8700 6750 0
387 15202 0
13647 8328 0
11295 7088 0
3725 5631 0
11380 6178 0
14669 2080 0
18201 14100 0
8691 12102 0
1123 13865 0
4430 15196 0
13759 5708 0
19085 4245 0
19923 11060 0
6418 13387 0
3840 15232 0
6025 4600 0
19446 7360 0
10959 18251 0
1848 16810 0
19804 16849 0
13580 5940 0
19310 19210 0
16849 2840 0
16151 6621 0
19354 19554 0
6896 2137 0
2889 15638 0
9068 19554 0
15266 17157 0
16295 18161 0
13121 15961 0
8353 60 0
11780 7660 0
19860 8691 0
12120 8758 0
19560 15192 0
14669 8308 0
4022 4306 0
6843 19828 0
4767 17702 0
14073 6453 0
12568 929 0
17780 14342 0
1012 19499 0
15346 15780 0
7042 11588 0
19609 8446 0
5008 10616 0
2661 9267 0
18398 7870 0
9836 7140 0
15923 17201 0
11882 628 0
6750 3910 0
19828 5112 0
12547 15680 0
130 564 0
17804 7260 0
17622 560 0
8440 12565 0
13865 1909 0
2002 7744 0
935 4211 0
840 17581 0
3591 16431 0
17300 387 0
4022 17957 0
15167 19260 0
12320 9836 0
